Loading Map Settings: 
Skipped : osu file format v14
Skipped : 0,0,"bg.png",0,0
Setting Beatmap Settings...
Complete!
Loading Timing Points: Complete!
Loading Hit Objects: Complete!
COL	|	OFFSET	|	VARIANCE
0	|	50546	|	158	
0	|	50704	|	237	
0	|	50941	|	79	
0	|	51020	|	79	
0	|	51099	|	276	
0	|	51375	|	277	
0	|	51652	|	158	
0	|	51810	|	315	
0	|	52125	|	158	
0	|	52283	|	158	
0	|	52441	|	316	
0	|	52757	|	158	
0	|	52915	|	158	
0	|	53073	|	237	
0	|	53310	|	236	
0	|	53546	|	158	
0	|	53704	|	158	
0	|	53862	|	237	
0	|	54099	|	197	
0	|	54296	|	277	
0	|	54573	|	79	
0	|	54652	|	316	
0	|	54968	|	315	
0	|	55283	|	316	
0	|	55599	|	197	
0	|	55796	|	277	
0	|	56073	|	158	
0	|	56231	|	158	
0	|	56389	|	157	
0	|	56546	|	158	
0	|	56704	|	158	
0	|	56862	|	316	
0	|	57178	|	158	
0	|	57336	|	158	
0	|	57494	|	316	
0	|	57810	|	158	
0	|	57968	|	105	
0	|	58073	|	263	
0	|	58336	|	263	
0	|	58599	|	158	
0	|	58757	|	158	
0	|	58915	|	79	
0	|	58994	|	395	
0	|	59389	|	157	
0	|	59546	|	158	
0	|	59704	|	316	
0	|	60020	|	79	
0	|	60099	|	237	
0	|	60336	|	493	
0	|	60829	|	178	
0	|	61007	|	118	
0	|	61125	|	158	
0	|	61283	|	158	
0	|	61441	|	158	
0	|	61599	|	158	
0	|	61757	|	237	
0	|	61994	|	237	
0	|	62231	|	315	
0	|	62546	|	158	
0	|	62704	|	264	
0	|	62968	|	131	
0	|	63099	|	158	
0	|	63257	|	184	
0	|	63441	|	158	
0	|	63599	|	132	
0	|	63731	|	131	
0	|	63862	|	224	
0	|	64086	|	197	
0	|	64283	|	474	
0	|	64757	|	158	
0	|	64915	|	158	
0	|	65073	|	79	
0	|	65152	|	342	
0	|	65494	|	131	
0	|	65625	|	237	
0	|	65862	|	158	
0	|	66020	|	119	
0	|	66139	|	276	
0	|	66415	|	237	
0	|	66652	|	158	
0	|	66810	|	158	
0	|	66968	|	276	
0	|	67244	|	118	
0	|	67362	|	237	
0	|	67599	|	237	
0	|	67836	|	158	
0	|	67994	|	79	
0	|	68073	|	158	
0	|	68231	|	158	
0	|	68389	|	236	
0	|	68625	|	237	
0	|	68862	|	316	
0	|	69178	|	632	
0	|	69810	|	315	
0	|	70125	|	158	
0	|	70283	|	
0	|	71389	|	157	
0	|	71546	|	158	
0	|	71704	|	158	
0	|	71862	|	474	
0	|	72336	|	237	
0	|	72573	|	79	
0	|	72652	|	158	
0	|	72810	|	158	
0	|	72968	|	177	
0	|	73145	|	138	
0	|	73283	|	316	
0	|	73599	|	158	
0	|	73757	|	158	
0	|	73915	|	105	
0	|	74020	|	211	
0	|	74231	|	79	
0	|	74310	|	658	
0	|	74968	|	315	
0	|	75283	|	211	
0	|	75494	|	
0	|	76777	|	217	
0	|	76994	|	395	
0	|	77389	|	157	
0	|	77546	|	158	
0	|	77704	|	79	
0	|	77783	|	237	
0	|	78020	|	316	
0	|	78336	|	316	
0	|	78652	|	394	
0	|	79046	|	395	
0	|	79441	|	79	
0	|	79520	|	395	
0	|	79915	|	355	
0	|	80270	|	119	
0	|	80389	|	315	
0	|	80704	|	474	
0	|	81178	|	237	
0	|	81415	|	184	
0	|	81599	|	211	
0	|	81810	|	315	
0	|	82125	|	158	
0	|	82283	|	237	
0	|	82520	|	237	
0	|	82757	|	158	
0	|	82915	|	158	
0	|	83073	|	316	
0	|	83389	|	79	
0	|	83468	|	236	
0	|	83704	|	158	
0	|	83862	|	158	
0	|	84020	|	316	
0	|	84336	|	632	
0	|	84968	|	157	
0	|	85125	|	79	
0	|	85204	|	
0	|	86862	|	316	
0	|	87178	|	158	
0	|	87336	|	158	
0	|	87494	|	158	
0	|	87652	|	158	
0	|	87810	|	315	
0	|	88125	|	158	
0	|	88283	|	158	
0	|	88441	|	237	
0	|	88678	|	237	
0	|	88915	|	158	
0	|	89073	|	158	
0	|	89231	|	158	
0	|	89389	|	315	
0	|	89704	|	158	
0	|	89862	|	316	
0	|	90178	|	158	
0	|	90336	|	158	
0	|	90494	|	158	
0	|	90652	|	158	
0	|	90810	|	210	
0	|	91020	|	158	
0	|	91178	|	105	
0	|	91283	|	158	
0	|	91441	|	158	
0	|	91599	|	79	
0	|	91678	|	237	
0	|	91915	|	237	
0	|	92152	|	237	
0	|	92389	|	157	
0	|	92546	|	237	
0	|	92783	|	237	
0	|	93020	|	158	
0	|	93178	|	158	
0	|	93336	|	79	
0	|	93415	|	237	
0	|	93652	|	158	
0	|	93810	|	158	
0	|	93968	|	78	
0	|	94046	|	237	
0	|	94283	|	79	
0	|	94362	|	237	
0	|	94599	|	237	
0	|	94836	|	237	
0	|	95073	|	158	
0	|	95231	|	237	
0	|	95468	|	236	
0	|	95704	|	158	
0	|	95862	|	79	
0	|	95941	|	395	
0	|	96336	|	158	
0	|	96494	|	79	
0	|	96573	|	395	
0	|	96968	|	236	
0	|	97204	|	237	
0	|	97441	|	158	
0	|	97599	|	237	
0	|	97836	|	237	
0	|	98073	|	158	
0	|	98231	|	158	
0	|	98389	|	79	
0	|	98468	|	236	
0	|	98704	|	158	
0	|	98862	|	158	
0	|	99020	|	79	
0	|	99099	|	237	
0	|	99336	|	158	
0	|	99494	|	158	
0	|	99652	|	237	
0	|	99889	|	236	
0	|	100125	|	158	
0	|	100283	|	237	
0	|	100520	|	237	
0	|	100757	|	158	
0	|	100915	|	79	
0	|	100994	|	158	
0	|	101152	|	237	
0	|	101389	|	157	
0	|	101546	|	79	
0	|	101625	|	158	
0	|	101783	|	158	
0	|	101941	|	395	
0	|	102336	|	237	
0	|	102573	|	237	
0	|	102810	|	236	
0	|	103046	|	237	
0	|	103283	|	316	
0	|	103599	|	316	
0	|	103915	|	316	
0	|	104231	|	315	
0	|	104546	|	316	
0	|	104862	|	316	
0	|	105178	|	316	
0	|	105494	|	631	
0	|	106125	|	632	
0	|	106757	|	632	
0	|	107389	|	263	
0	|	107652	|	158	
0	|	107810	|	263	
0	|	108073	|	158	
0	|	108231	|	263	
0	|	108494	|	79	
0	|	108573	|	552	
0	|	109125	|	79	
0	|	109204	|	553	
0	|	109757	|	79	
0	|	109836	|	474	
0	|	110310	|	158	
0	|	110468	|	157	
0	|	110625	|	158	
0	|	110783	|	237	
0	|	111020	|	158	
0	|	111178	|	316	
0	|	111494	|	158	
0	|	111652	|	237	
0	|	111889	|	79	
0	|	111968	|	78	
0	|	112046	|	79	
0	|	112125	|	316	
0	|	112441	|	158	
0	|	112599	|	158	
0	|	112757	|	105	
0	|	112862	|	132	
0	|	112994	|	395	
0	|	113389	|	157	
0	|	113546	|	158	
0	|	113704	|	316	
0	|	114020	|	276	
0	|	114296	|	277	
0	|	114573	|	184	
0	|	114757	|	368	
0	|	115125	|	158	
0	|	115283	|	316	
0	|	115599	|	237	
0	|	115836	|	158	
0	|	115994	|	237	
0	|	116231	|	158	
0	|	116389	|	157	
0	|	116546	|	158	
0	|	116704	|	158	
0	|	116862	|	158	
0	|	117020	|	158	
0	|	117178	|	316	
0	|	117494	|	474	
0	|	117968	|	157	
0	|	118125	|	356	
0	|	118481	|	118	
0	|	118599	|	158	
0	|	118757	|	316	
0	|	119073	|	316	
0	|	119389	|	157	
0	|	119546	|	79	
0	|	119625	|	79	
0	|	119704	|	527	
0	|	120231	|	223	
0	|	120454	|	145	
0	|	120599	|	132	
0	|	120731	|	158	
0	|	120889	|	236	
0	|	121125	|	316	
0	|	121441	|	158	
0	|	121599	|	158	
0	|	121757	|	158	
0	|	121915	|	158	
0	|	122073	|	158	
0	|	122231	|	158	
0	|	122389	|	157	
0	|	122546	|	198	
0	|	122744	|	158	
0	|	122902	|	276	
0	|	123178	|	158	
0	|	123336	|	197	
0	|	123533	|	158	
0	|	123691	|	277	
0	|	123968	|	157	
0	|	124125	|	198	
0	|	124323	|	158	
0	|	124481	|	118	
0	|	124599	|	158	
0	|	124757	|	197	
0	|	124954	|	119	
0	|	125073	|	197	
0	|	125270	|	119	
0	|	125389	|	197	
0	|	125586	|	197	
0	|	125783	|	198	
0	|	125981	|	276	
0	|	126257	|	158	
0	|	126415	|	118	
0	|	126533	|	237	
0	|	126770	|	79	
0	|	126849	|	355	
0	|	127204	|	185	
0	|	127389	|	171	
0	|	127560	|	158	
0	|	127718	|	144	
0	|	127862	|	211	
0	|	128073	|	105	
0	|	128178	|	316	
0	|	128494	|	210	
0	|	128704	|	158	
0	|	128862	|	158	
0	|	129020	|	316	
0	|	129336	|	79	
0	|	129415	|	131	
0	|	129546	|	264	
0	|	129810	|	276	
0	|	130086	|	197	
0	|	130283	|	277	
0	|	130560	|	197	
0	|	130757	|	316	
0	|	131073	|	158	
0	|	131231	|	158	
0	|	131389	|	315	
0	|	131704	|	237	
0	|	131941	|	395	
0	|	132336	|	316	
0	|	132652	|	316	
0	|	132968	|	157	
0	|	133125	|	158	
0	|	133283	|	316	
0	|	133599	|	99	
0	|	133698	|	217	
0	|	133915	|	158	
0	|	134073	|	210	
0	|	134283	|	263	
0	|	134546	|	316	
0	|	134862	|	158	
0	|	135020	|	211	
0	|	135231	|	263	
0	|	135494	|	395	
0	|	135889	|	236	
0	|	136125	|	316	
0	|	136441	|	198	
0	|	136639	|	223	
0	|	136862	|	158	
0	|	137020	|	158	
0	|	137178	|	158	
0	|	137336	|	210	
0	|	137546	|	158	
0	|	137704	|	316	
0	|	138020	|	158	
0	|	138178	|	158	
0	|	138336	|	105	
0	|	138441	|	211	
0	|	138652	|	237	
0	|	138889	|	315	
0	|	139204	|	158	
0	|	139362	|	79	
0	|	139441	|	119	
0	|	139560	|	197	
0	|	139757	|	105	
0	|	139862	|	237	
0	|	140099	|	158	
0	|	140257	|	132	
0	|	140389	|	184	
0	|	140573	|	158	
0	|	140731	|	131	
0	|	140862	|	184	
0	|	141046	|	132	
0	|	141178	|	184	
0	|	141362	|	158	
0	|	141520	|	171	
0	|	141691	|	145	
0	|	141836	|	158	
0	|	141994	|	447	
0	|	142441	|	198	
0	|	142639	|	118	
0	|	142757	|	158	
0	|	142915	|	158	
0	|	143073	|	158	
0	|	143231	|	158	
0	|	143389	|	315	
0	|	143704	|	158	
0	|	143862	|	178	
0	|	144040	|	164	
0	|	144204	|	211	
0	|	144415	|	237	
0	|	144652	|	158	
0	|	144810	|	526	
0	|	145336	|	263	
0	|	145599	|	474	
0	|	146073	|	158	
0	|	146231	|	158	
0	|	146389	|	79	
0	|	146468	|	394	
0	|	146862	|	79	
0	|	146941	|	237	
0	|	147178	|	316	
0	|	147494	|	118	
0	|	147612	|	277	
0	|	147889	|	394	
0	|	148283	|	158	
0	|	148441	|	79	
0	|	148520	|	237	
0	|	148757	|	158	
0	|	148915	|	237	
0	|	149152	|	158	
0	|	149310	|	276	
0	|	149586	|	276	
0	|	149862	|	158	
0	|	150020	|	119	
0	|	150139	|	157	
0	|	150296	|	145	
0	|	150441	|	211	
0	|	150652	|	158	
0	|	150810	|	473	
0	|	151283	|	158	
0	|	151441	|	158	
0	|	151599	|	158	
0	|	151757	|	158	
0	|	151915	|	158	
0	|	152073	|	158	
0	|	152231	|	158	
0	|	152389	|	157	
0	|	152546	|	158	
0	|	152704	|	158	
0	|	152862	|	237	
0	|	153099	|	237	
0	|	153336	|	474	
0	|	153810	|	158	
0	|	153968	|	157	
0	|	154125	|	316	
0	|	154441	|	198	
0	|	154639	|	79	
0	|	154718	|	355	
0	|	155073	|	158	
0	|	155231	|	158	
0	|	155389	|	157	
0	|	155546	|	158	
0	|	155704	|	158	
0	|	155862	|	106	
0	|	155968	|	131	
0	|	156099	|	237	
0	|	156336	|	316	
0	|	156652	|	79	
0	|	156731	|	315	
0	|	157046	|	237	
0	|	157283	|	132	
0	|	157415	|	184	
0	|	157599	|	158	
0	|	157757	|	237	
0	|	157994	|	316	
0	|	158310	|	236	
0	|	158546	|	237	
0	|	158783	|	237	
0	|	159020	|	158	
0	|	159178	|	211	
0	|	159389	|	144	
0	|	159533	|	158	
0	|	159691	|	119	
0	|	159810	|	315	
0	|	160125	|	264	
0	|	160389	|	263	
0	|	160652	|	421	
0	|	161073	|	158	
0	|	161231	|	158	
0	|	161389	|	315	
0	|	161704	|	237	
0	|	161941	|	158	
0	|	162099	|	237	
0	|	162336	|	316	
0	|	162652	|	316	
0	|	162968	|	105	
0	|	163073	|	210	
0	|	163283	|	211	
0	|	163494	|	210	
0	|	163704	|	211	
0	|	163915	|	197	
0	|	164112	|	198	
0	|	164310	|	263	
0	|	164573	|	210	
0	|	164783	|	263	
0	|	165046	|	237	
0	|	165283	|	211	
0	|	165494	|	158	
0	|	165652	|	316	
0	|	165968	|	157	
0	|	166125	|	316	
0	|	166441	|	237	
0	|	166678	|	237	
0	|	166915	|	158	
0	|	167073	|	158	
0	|	167231	|	158	
0	|	167389	|	315	
0	|	167704	|	198	
0	|	167902	|	276	
0	|	168178	|	158	
0	|	168336	|	316	
0	|	168652	|	79	
0	|	168731	|	237	
0	|	168968	|	263	
0	|	169231	|	289	
0	|	169520	|	198	
0	|	169718	|	157	
0	|	169875	|	119	
0	|	169994	|	342	
0	|	170336	|	210	
0	|	170546	|	316	
0	|	170862	|	316	
0	|	171178	|	316	
0	|	171494	|	158	
0	|	171652	|	355	
0	|	172007	|	237	
0	|	172244	|	158	
0	|	172402	|	158	
0	|	172560	|	355	
0	|	172915	|	158	
0	|	173073	|	368	
0	|	173441	|	184	
0	|	173625	|	474	
0	|	174099	|	395	
0	|	174494	|	158	
0	|	174652	|	316	
0	|	174968	|	315	
0	|	175283	|	158	
0	|	175441	|	158	
0	|	175599	|	316	
0	|	175915	|	237	
0	|	176152	|	316	
0	|	176468	|	236	
0	|	176704	|	158	
0	|	176862	|	237	
0	|	177099	|	316	
0	|	177415	|	789	
0	|	178204	|	494	
0	|	178698	|	454	
0	|	179152	|	375	
0	|	179527	|	631	
0	|	180158	|	869	
0	|	181027	|	
0	|	182862	|	316	
0	|	183178	|	316	
0	|	183494	|	316	
0	|	183810	|	315	
0	|	184125	|	316	
0	|	184441	|	316	
0	|	184757	|	316	
0	|	185073	|	316	
0	|	185389	|	315	
0	|	185704	|	316	
0	|	186020	|	316	
0	|	186336	|	316	
0	|	186652	|	316	
0	|	186968	|	315	
0	|	187283	|	316	
0	|	187599	|	316	
0	|	187915	|	316	
0	|	188231	|	315	
0	|	188546	|	316	
0	|	188862	|	316	
0	|	189178	|	316	
0	|	189494	|	316	
0	|	189810	|	315	
0	|	190125	|	316	
0	|	190441	|	316	
0	|	190757	|	316	
0	|	191073	|	316	
0	|	191389	|	315	
0	|	191704	|	316	
0	|	192020	|	316	
0	|	192336	|	105	
0	|	192441	|	105	
0	|	192546	|	106	
0	|	192652	|	316	
0	|	192968	|	315	
0	|	193283	|	211	
0	|	193494	|	105	
0	|	193599	|	316	
0	|	193915	|	210	
0	|	194125	|	106	
0	|	194231	|	315	
0	|	194546	|	119	
0	|	194665	|	250	
0	|	194915	|	158	
0	|	195073	|	105	
0	|	195178	|	316	
0	|	195494	|	316	
0	|	195810	|	315	
0	|	196125	|	106	
0	|	196231	|	105	
0	|	196336	|	105	
0	|	196441	|	316	
0	|	196757	|	316	
0	|	197073	|	316	
0	|	197389	|	315	
0	|	197704	|	316	
0	|	198020	|	158	
0	|	198178	|	158	
0	|	198336	|	158	
0	|	198494	|	158	
0	|	198652	|	131	
0	|	198783	|	185	
0	|	198968	|	315	
0	|	199283	|	211	
0	|	199494	|	105	
0	|	199599	|	197	
0	|	199796	|	119	
0	|	199915	|	316	
0	|	200231	|	105	
0	|	200336	|	105	
0	|	200441	|	421	
0	|	200862	|	106	
0	|	200968	|	210	
0	|	201178	|	211	
0	|	201389	|	105	
0	|	201494	|	105	
0	|	201599	|	211	
0	|	201810	|	315	
0	|	202125	|	316	
0	|	202441	|	105	
0	|	202546	|	211	
0	|	202757	|	316	
0	|	203073	|	316	
0	|	203389	|	105	
0	|	203494	|	105	
0	|	203599	|	211	
0	|	203810	|	210	
0	|	204020	|	105	
0	|	204125	|	211	
0	|	204336	|	316	
0	|	204652	|	210	
0	|	204862	|	421	
0	|	205283	|	106	
0	|	205389	|	210	
0	|	205599	|	316	
0	|	205915	|	210	
0	|	206125	|	316	
0	|	206441	|	132	
0	|	206573	|	184	
0	|	206757	|	105	
0	|	206862	|	316	
0	|	207178	|	211	
0	|	207389	|	315	
0	|	207704	|	106	
0	|	207810	|	210	
0	|	208020	|	105	
0	|	208125	|	316	
0	|	208441	|	211	
0	|	208652	|	316	
0	|	208968	|	105	
0	|	209073	|	210	
0	|	209283	|	106	
0	|	209389	|	315	
0	|	209704	|	211	
0	|	209915	|	316	
0	|	210231	|	105	
0	|	210336	|	210	
0	|	210546	|	106	
0	|	210652	|	316	
0	|	210968	|	210	
0	|	211178	|	316	
0	|	211494	|	105	
0	|	211599	|	211	
0	|	211810	|	105	
0	|	211915	|	210	
0	|	212125	|	106	
0	|	212231	|	210	
0	|	212441	|	105	
0	|	212546	|	106	
0	|	212652	|	105	
0	|	212757	|	211	
0	|	212968	|	210	
0	|	213178	|	211	
0	|	213389	|	105	
0	|	213494	|	210	
0	|	213704	|	106	
0	|	213810	|	210	
0	|	214020	|	105	
0	|	214125	|	211	
0	|	214336	|	105	
0	|	214441	|	316	
0	|	214757	|	211	
0	|	214968	|	105	
0	|	215073	|	210	
0	|	215283	|	106	
0	|	215389	|	210	
0	|	215599	|	105	
0	|	215704	|	106	
0	|	215810	|	210	
0	|	216020	|	211	
0	|	216231	|	105	
0	|	216336	|	105	
0	|	216441	|	421	
0	|	216862	|	106	
0	|	216968	|	210	
0	|	217178	|	105	
0	|	217283	|	211	
0	|	217494	|	105	
0	|	217599	|	105	
0	|	217704	|	211	
0	|	217915	|	210	
0	|	218125	|	106	
0	|	218231	|	105	
0	|	218336	|	210	
0	|	218546	|	211	
0	|	218757	|	105	
0	|	218862	|	106	
0	|	218968	|	421	
0	|	219389	|	105	
0	|	219494	|	210	
0	|	219704	|	106	
0	|	219810	|	210	
0	|	220020	|	105	
0	|	220125	|	527	
0	|	220652	|	105	
0	|	220757	|	211	
0	|	220968	|	105	
0	|	221073	|	210	
0	|	221283	|	106	
0	|	221389	|	210	
0	|	221599	|	105	
0	|	221704	|	211	
0	|	221915	|	105	
0	|	222020	|	632	
0	|	222652	|	210	
0	|	222862	|	211	
0	|	223073	|	210	
0	|	223283	|	211	
0	|	223494	|	105	
0	|	223599	|	211	
0	|	223810	|	105	
0	|	223915	|	210	
0	|	224125	|	106	
0	|	224231	|	210	
0	|	224441	|	105	
0	|	224546	|	316	
0	|	224862	|	211	
0	|	225073	|	105	
0	|	225178	|	211	
0	|	225389	|	105	
0	|	225494	|	210	
0	|	225704	|	106	
0	|	225810	|	105	
0	|	225915	|	210	
0	|	226125	|	211	
0	|	226336	|	105	
0	|	226441	|	105	
0	|	226546	|	422	
0	|	226968	|	105	
0	|	227073	|	237	
0	|	227310	|	105	
0	|	227415	|	184	
0	|	227599	|	132	
0	|	227731	|	105	
0	|	227836	|	184	
0	|	228020	|	211	
0	|	228231	|	105	
0	|	228336	|	105	
0	|	228441	|	211	
0	|	228652	|	210	
0	|	228862	|	106	
0	|	228968	|	105	
0	|	229073	|	447	
0	|	229520	|	105	
0	|	229625	|	185	
0	|	229810	|	105	
0	|	229915	|	210	
0	|	230125	|	106	
0	|	230231	|	526	
0	|	230757	|	105	
0	|	230862	|	237	
0	|	231099	|	105	
0	|	231204	|	185	
0	|	231389	|	105	
0	|	231494	|	210	
0	|	231704	|	106	
0	|	231810	|	210	
0	|	232020	|	105	
0	|	232125	|	211	
0	|	232336	|	105	
0	|	232441	|	316	
0	|	232757	|	105	
0	|	232862	|	106	
0	|	232968	|	421	
0	|	233389	|	210	
0	|	233599	|	105	
0	|	233704	|	211	
0	|	233915	|	184	
0	|	234099	|	237	
0	|	234336	|	210	
0	|	234546	|	106	
0	|	234652	|	316	
0	|	234968	|	210	
0	|	235178	|	105	
0	|	235283	|	316	
0	|	235599	|	105	
0	|	235704	|	106	
0	|	235810	|	105	
0	|	235915	|	316	
0	|	236231	|	210	
0	|	236441	|	105	
0	|	236546	|	106	
0	|	236652	|	316	
0	|	236968	|	105	
0	|	237073	|	105	
0	|	237178	|	237	
0	|	237415	|	105	
0	|	237520	|	316	
0	|	237836	|	105	
0	|	237941	|	184	
0	|	238125	|	211	
0	|	238336	|	132	
0	|	238468	|	184	
0	|	238652	|	131	
0	|	238783	|	185	
0	|	238968	|	131	
0	|	239099	|	369	
0	|	239468	|	157	
0	|	239625	|	119	
0	|	239744	|	276	
0	|	240020	|	211	
0	|	240231	|	105	
0	|	240336	|	395	
0	|	240731	|	131	
0	|	240862	|	106	
0	|	240968	|	236	
0	|	241204	|	106	
0	|	241310	|	184	
0	|	241494	|	105	
0	|	241599	|	211	
0	|	241810	|	105	
0	|	241915	|	316	
0	|	242231	|	315	
0	|	242546	|	316	
0	|	242862	|	316	
0	|	243178	|	197	
0	|	243375	|	119	
0	|	243494	|	158	
0	|	243652	|	158	
0	|	243810	|	158	
0	|	243968	|	157	
0	|	244125	|	158	
0	|	244283	|	158	
0	|	244441	|	158	
0	|	244599	|	237	
0	|	244836	|	237	
0	|	245073	|	158	
0	|	245231	|	158	
0	|	245389	|	157	
0	|	245546	|	158	
0	|	245704	|	158	
0	|	245862	|	158	
0	|	246020	|	158	
0	|	246178	|	158	
0	|	246336	|	263	
0	|	246599	|	211	
0	|	246810	|	158	
0	|	246968	|	197	
0	|	247165	|	118	
0	|	247283	|	316	
0	|	247599	|	197	
0	|	247796	|	119	
0	|	247915	|	118	
0	|	248033	|	198	
0	|	248231	|	237	
0	|	248468	|	236	
0	|	248704	|	158	
0	|	248862	|	158	
0	|	249020	|	158	
0	|	249178	|	237	
0	|	249415	|	158	
0	|	249573	|	158	
0	|	249731	|	237	
0	|	249968	|	157	
0	|	250125	|	264	
0	|	250389	|	131	
0	|	250520	|	79	
0	|	250599	|	158	
0	|	250757	|	316	
0	|	251073	|	237	
0	|	251310	|	158	
0	|	251468	|	236	
0	|	251704	|	158	
0	|	251862	|	237	
0	|	252099	|	119	
0	|	252218	|	118	
0	|	252336	|	158	
0	|	252494	|	158	
0	|	252652	|	263	
0	|	252915	|	131	
0	|	253046	|	158	
0	|	253204	|	132	
0	|	253336	|	105	
0	|	253441	|	158	
0	|	253599	|	79	
0	|	253678	|	79	
0	|	253757	|	79	
0	|	253836	|	395	
0	|	254231	|	158	
0	|	254389	|	157	
0	|	254546	|	237	
0	|	254783	|	395	
0	|	255178	|	316	
0	|	255494	|	355	
0	|	255849	|	276	
0	|	256125	|	277	
0	|	256402	|	250	
0	|	256652	|	105	
0	|	256757	|	211	
0	|	256968	|	157	
0	|	257125	|	264	
0	|	257389	|	315	
0	|	257704	|	79	
0	|	257783	|	237	
0	|	258020	|	158	
0	|	258178	|	158	
0	|	258336	|	158	
0	|	258494	|	158	
0	|	258652	|	158	
0	|	258810	|	118	
0	|	258928	|	355	
0	|	259283	|	158	
0	|	259441	|	474	
0	|	259915	|	158	
0	|	260073	|	473	
0	|	260546	|	158	
0	|	260704	|	632	
0	|	261336	|	632	
0	|	261968	|	197	
0	|	262165	|	197	
0	|	262362	|	790	
0	|	263152	|	158	
0	|	263310	|	158	
0	|	263468	|	157	
0	|	263625	|	395	
0	|	264020	|	211	
0	|	264231	|	210	
0	|	264441	|	211	
0	|	264652	|	105	
0	|	264757	|	132	
0	|	264889	|	157	
0	|	265046	|	237	
0	|	265283	|	119	
0	|	265402	|	197	
0	|	265599	|	119	
0	|	265718	|	144	
0	|	265862	|	211	
0	|	266073	|	118	
0	|	266191	|	145	
0	|	266336	|	210	
0	|	266546	|	237	
0	|	266783	|	158	
0	|	266941	|	79	
0	|	267020	|	237	
